position_holder,issuer_name,position_date,isin,net_short_position,source
Capital Fund Management S.A.,IMCD N.V.,2026-03-31,NL0010801007,0.62,current
Citadel Advisors LLC,Signify N.V.,2026-03-31,NL0011821392,2.4,current
Eleva Capital SAS,Signify N.V.,2026-03-31,NL0011821392,1.21,current
"AQR Capital Management, LLC",Adyen N.V.,2026-03-30,NL0012969182,0.9,current
Eleva Capital SAS,Signify N.V.,2026-03-30,NL0011821392,1.05,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-03-30,CH1216478797,0.91,current
Marshall Wace LLP,Signify N.V.,2026-03-30,NL0011821392,1.87,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-03-30,NL0015002MS2,1.59,current
Numeric Investors LLC,NSI N.V.,2026-03-30,NL0012365084,0.61,current
"Two Sigma Investments, LP",Theon International Plc,2026-03-30,CY0200751713,0.7,current
"AQR Capital Management, LLC",ARCADIS N.V.,2026-03-27,NL0006237562,0.9,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,2026-03-27,NL0010801007,1.12,current
"BlackRock Financial Management, Inc.",IMCD N.V.,2026-03-27,NL0010801007,1.09,current
Capital Fund Management S.A.,IMCD N.V.,2026-03-27,NL0010801007,0.51,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-03-27,NL0006237562,0.7,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-03-26,NL0006237562,0.69,current
