position_holder,issuer_name,net_short_position,position_date,isin,source
Capital Fund Management S.A.,IMCD N.V.,0.8,2026-05-13,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,1.61,2026-05-13,NL0011821392,current
"Two Sigma Investments, LP",Pharming Group N.V.,0.91,2026-05-13,NL0010391025,current
Walleye Capital LLC,Pharming Group N.V.,0.74,2026-05-13,NL0010391025,current
"BlackRock Advisors, LLC",IMCD N.V.,0.59,2026-05-12,NL0010801007,current
"BlackRock Financial Management, Inc.",Signify N.V.,0.71,2026-05-12,NL0011821392,current
Capital Fund Management S.A.,IMCD N.V.,0.79,2026-05-12,NL0010801007,current
Lazard Asset Management LLC,Pharming Group N.V.,0.82,2026-05-12,NL0010391025,current
Numeric Investors LLC,NSI N.V.,0.8,2026-05-12,NL0012365084,current
"Two Sigma Investments, LP",InPost S.A.,1.36,2026-05-12,LU2290522684,current
Capital Fund Management S.A.,IMCD N.V.,0.8,2026-05-11,NL0010801007,current
Citadel Advisors LLC,DSM-Firmenich AG,0.5,2026-05-11,CH1216478797,current
Citadel Advisors LLC,Wereldhave N.V.,0.7,2026-05-11,NL0000289213,current
"Two Sigma Investments, LP",Pharming Group N.V.,0.86,2026-05-11,NL0010391025,current
"Two Sigma Investments, LP",Theon International Plc,0.8,2026-05-11,CY0200751713,current
Walleye Capital LLC,Pharming Group N.V.,0.63,2026-05-11,NL0010391025,current
Citadel Advisors LLC,Signify N.V.,1.5,2026-05-08,NL0011821392,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.72,2026-05-08,NL0013267909,current
"Two Sigma Investments, LP",Pharming Group N.V.,0.75,2026-05-08,NL0010391025,current
Walleye Capital LLC,Pharming Group N.V.,0.53,2026-05-08,NL0010391025,current
Lazard Asset Management LLC,Pharming Group N.V.,0.76,2026-05-07,NL0010391025,current
Marshall Wace LLP,Signify N.V.,1.69,2026-05-07,NL0011821392,current
Capital Fund Management S.A.,IMCD N.V.,0.79,2026-05-06,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,1.41,2026-05-06,NL0011821392,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.4,2026-05-06,CH1216478797,current
"PDT Partners, LLC",IMCD N.V.,0.77,2026-05-06,NL0010801007,current
"PDT Partners, LLC",Signify N.V.,0.9,2026-05-06,NL0011821392,current
Citadel Advisors LLC,Signify N.V.,1.36,2026-05-05,NL0011821392,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.98,2026-05-05,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.09,2026-05-05,NL0013332471,current
Marshall Wace LLP,Signify N.V.,1.76,2026-05-05,NL0011821392,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.65,2026-05-05,NL0011872650,current
Capital Fund Management S.A.,IMCD N.V.,0.81,2026-05-04,NL0010801007,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.61,2026-05-04,NL0013267909,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,0.57,2026-04-30,NL0006237562,current
Marshall Wace LLP,PostNL N.V.,0.89,2026-04-30,NL0009739416,current
