issuer_name,net_short_position,isin,position_holder,position_date,source
Signify N.V.,1.62,NL0011821392,Citadel Advisors LLC,2026-02-18,current
Akzo Nobel N.V.,1.23,NL0013267909,Davidson Kempner Capital Management LP,2026-02-18,current
IMCD N.V.,0.72,NL0010801007,JPMorgan Asset Management (UK) Ltd.,2026-02-18,current
The Magnum Ice Cream Company N.V.,0.81,NL0015002MS2,Marshall Wace LLP,2026-02-18,current
IMCD N.V.,0.63,NL0010801007,"PDT Partners, LLC",2026-02-18,current
Alfen N.V.,1.77,NL0012817175,Voleon Capital Management LP,2026-02-18,current
Alfen N.V.,3.25,NL0012817175,"WorldQuant, LLC",2026-02-18,current
Wereldhave N.V.,0.58,NL0000289213,Citadel Advisors LLC,2026-02-17,current
Wolters Kluwer N.V.,0.59,NL0000395903,"D. E. Shaw & Co., L.P.",2026-02-17,current
Signify N.V.,0.92,NL0011821392,Eleva Capital SAS,2026-02-17,current
DSM-Firmenich AG,1.07,CH1216478797,Ilex Capital Partners (UK) LLP,2026-02-17,current
Alfen N.V.,1.68,NL0012817175,Voleon Capital Management LP,2026-02-17,current
Alfen N.V.,3.11,NL0012817175,"WorldQuant, LLC",2026-02-17,current
Wereldhave N.V.,0.6,NL0000289213,Citadel Advisors LLC,2026-02-16,current
Wolters Kluwer N.V.,0.6,NL0000395903,"D. E. Shaw & Co., L.P.",2026-02-16,current
DSM-Firmenich AG,1.12,CH1216478797,Ilex Capital Partners (UK) LLP,2026-02-16,current
The Magnum Ice Cream Company N.V.,0.7,NL0015002MS2,Marshall Wace LLP,2026-02-16,current
Akzo Nobel N.V.,0.74,NL0013267909,"AQR Capital Management, LLC",2026-02-13,current
Wolters Kluwer N.V.,0.59,NL0000395903,"D. E. Shaw & Co., L.P.",2026-02-13,current
