position_date,isin,position_holder,issuer_name,net_short_position,source
2026-05-21,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.74,current
2026-05-21,CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.71,current
2026-05-21,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.6,current
2026-05-21,NL0011821392,Marshall Wace LLP,Signify N.V.,1.58,current
2026-05-21,NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,0.99,current
2026-05-20,LU2290522684,"Two Sigma Investments, LP",InPost S.A.,1.29,current
2026-05-20,NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,1.0,current
2026-05-19,NL0011872650,Linden Advisors LP,Basic-Fit N.V.,0.9,current
2026-05-19,NL0011821392,"PDT Partners, LLC",Signify N.V.,1.0,current
2026-05-18,NL0006237562,"AQR Capital Management, LLC",ARCADIS N.V.,0.99,current
2026-05-18,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.62,current
2026-05-18,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.59,current
2026-05-18,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.73,current
2026-05-15,NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,0.79,current
2026-05-15,NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,0.82,current
2026-05-15,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.68,current
2026-05-15,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.71,current
2026-05-14,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.78,current
2026-05-14,NL0011872650,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.89,current
2026-05-14,NL0010801007,"PDT Partners, LLC",IMCD N.V.,0.8,current
2026-05-14,NL0011872650,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.77,current
2026-05-13,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.8,current
2026-05-13,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.61,current
2026-05-13,NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,0.91,current
2026-05-13,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,0.74,current
2026-05-12,NL0010801007,"BlackRock Advisors, LLC",IMCD N.V.,0.59,current
2026-05-12,NL0011821392,"BlackRock Financial Management, Inc.",Signify N.V.,0.71,current
2026-05-12,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.79,current
2026-05-12,NL0010391025,Lazard Asset Management LLC,Pharming Group N.V.,0.82,current
2026-05-12,NL0012365084,Numeric Investors LLC,NSI N.V.,0.8,current
2026-05-12,LU2290522684,"Two Sigma Investments, LP",InPost S.A.,1.36,current
2026-05-11,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.8,current
2026-05-11,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.5,current
2026-05-11,NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,0.7,current
2026-05-11,NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,0.86,current
2026-05-11,CY0200751713,"Two Sigma Investments, LP",Theon International Plc,0.8,current
2026-05-11,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,0.63,current
2026-05-08,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.5,current
2026-05-08,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.72,current
2026-05-08,NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,0.75,current
2026-05-08,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,0.53,current
2026-05-07,NL0010391025,Lazard Asset Management LLC,Pharming Group N.V.,0.76,current
2026-05-07,NL0011821392,Marshall Wace LLP,Signify N.V.,1.69,current
2026-05-06,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.79,current
2026-05-06,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.41,current
2026-05-06,CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.4,current
2026-05-06,JE00BRX98089,Marshall Wace LLP,CVC Capital Partners plc,0.69,current
2026-05-06,NL0010801007,"PDT Partners, LLC",IMCD N.V.,0.77,current
2026-05-06,NL0011821392,"PDT Partners, LLC",Signify N.V.,0.9,current
2026-05-05,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.36,current
2026-05-05,NL0011872650,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.98,current
2026-05-05,NL0013332471,JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.09,current
2026-05-05,NL0011821392,Marshall Wace LLP,Signify N.V.,1.76,current
2026-05-05,NL0011872650,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.65,current
